"irn","IdeTaxonRef_tab(1).irn"
3960385,"3174"
3960386,"3191"
3960387,"3403"
3960388,"529167"
3960389,"6977"
3960392,"6977"
3960393,"7562"
3960394,"9040"
3960395,"9040"
3960396,"11446"
3960397,"14602"
3960398,"551512"
3960399,"17685"
3960400,"20932"
3960401,"23086"
3960402,"25730"
3960403,"26390"
3960404,"683054"
3960405,"27471"
3960406,"28873"
3960407,"29460"
3960408,"904"
3960409,"288689"
3960410,"34553"
3960411,"36462"
3960412,"683055"
3960413,"38984"
3960414,"41949"
3960415,"41963"
3960416,"41993"
3960417,"41993"
3960418,"42767"
3960419,"45209"
3960420,"579384"
3960421,"45220"
3960422,"683056"
3960423,"47372"
3960424,"683057"
3960425,"51275"
3960426,"577498"
3960427,"52540"
3960428,"52630"
3960429,"551262"
3960430,"577506"
3960431,"580417"
3960432,"55695"
3960433,"55695"
3960434,"56067"
3960435,"59342"
3960436,"61972"
3960437,"670083"
3960438,"63182"
3960439,"579229"
3960440,"63558"
3960441,"63865"
3960442,"64222"
3960443,"65135"
3960444,"290655"
3960445,"68926"
3960446,"71955"
3960447,"75875"
3960448,"76692"
3960449,"77148"
3960450,"80677"
3960451,"80699"
3960452,"81841"
3960453,"81853"
3960454,"81853"
3960455,"82839"
3960456,"380553"
