CATirn,Taxon_from_EMu
3960385,Aiouea costaricensis (Mez) Kosterm.
3960386,Aiouea obscura van der Werff
3960387,Alibertia edulis (Rich.) A. Rich. ex DC.
3960388,Anthodiscus chocoensis Prance
3960389,Aspidosperma myristicifolium (Markgr.) Woodson
3960392,Aspidosperma myristicifolium (Markgr.) Woodson
3960393,Ateleia herbert-smithii Pittier
3960394,Batocarpus costaricensis Standl. & L. O. Williams
3960395,Batocarpus costaricensis Standl. & L. O. Williams
3960396,Brosimum alicastrum Sw.
3960397,Caryodaphnopsis burgeri N. Zamora & Poveda
3960398,Chaunochiton kappleri (Engl.) Ducke
3960399,Chrysophyllum venezuelanense (Pierre) T. D. Penn.
3960400,Couratari guianensis Aubl.
3960401,Cymbopetalum costaricense (Donn. Sm.) Saff.
3960402,Dipteryx panamensis (Pittier) Record & Mell
3960403,Drypetes standleyi G. L. Webster
3960404,Dussia foxii Rudd
3960405,Enterolobium schomburgkii (Benth.) Benth.
3960406,Eschweilera costaricensis S. A. Mori
3960407,Eugenia hypargyrea Standl.
3960408,Eugenia sancarlosensis Barrie
3960409,Guarea gentryi Coronado
3960410,Guarea hoffmanniana C. DC.
3960411,Hernandia didymantha Donn. Sm.
3960412,Huberodendron allenii Standl. & L. O. Williams
3960413,Inga cocleensis Pittier
3960414,Lecointea amazonica Ducke
3960415,Lecythis ampla Miers
3960416,Lecythis mesophylla S. A. Mori
3960417,Lecythis mesophylla S. A. Mori
3960418,Licania operculipetala Standl. & L. O. Williams
3960419,Macrolobium costaricense W. C. Burger
3960420,Macrolobium hartshornii R. S. Cowan
3960421,Macrolobium herrerae Zarucchi
3960422,Magnolia inbioana A. Vázquez
3960423,Meliosma allenii Standl. & L. O. Williams
3960424,Mosannona costaricensis (R. E. Fr.) Chatrou
3960425,Myroxylon balsamum (L.) Harms
3960426,Ocotea atlantica van der Werff
3960427,Ocotea austinii C. K. Allen
3960428,Ocotea fulvescens Standl. & L. O. Williams
3960429,Ocotea macropoda (Kunth) Mez
3960430,Ocotea pentagona Mez
3960431,Palicourea beachiana C. M. Taylor
3960432,Parinari parvifolia Sandwith
3960433,Parinari parvifolia Sandwith
3960434,Passiflora membranacea Benth.
3960435,Picramnia antidesma Sw.
3960436,Plinia puriscalensis P. E. Sánchez & Q. Jiménez
3960437,Posoqueria robusta Hammel & C. M. Taylor
3960438,Pouteria laevigata (Mart.) Radlk.
3960439,Preslianthus pittieri (Standl.) Iltis & Cornejo
3960440,Protium pittieri (Rose) Engl.
3960441,Pseudopiptadenia suaveolens (Miq.) J. W. Grimes
3960442,Psychotria chagrensis Standl.
3960443,Quararibea asterolepis Pittier
3960444,Sapranthus palanga R. E. Fr.
3960445,Sarcaulus brasiliensis (A. DC.) Eyma
3960446,Simira maxonii (Standl.) Steyerm.
3960447,Styphnolobium parviflorum M. Sousa & Rudd
3960448,Tachigali versicolor Standl. & L. O. Williams
3960449,Tachigali versicolor Standl. & L. O. Williams
3960450,Vantanea barbourii Standl.
3960451,Vatairea erythrocarpa (Ducke) Ducke
3960452,Virola multiflora (Standl.) A. C. Sm.
3960453,Virola surinamensis (Rol. ex Rottb.) Warb.
3960454,Virola surinamensis (Rol. ex Rottb.) Warb.
3960455,Xylopia bocatorena Schery
3960456,Zygia gigantifoliola (Schery) L. Rico
