"CAtGroup","CATGroup","1","2","3","4"
1,1,"1821345","1821346","1821347",""
2,2,"1821348","","",""
3,3,"1821349","1821350","",""
4,4,"1821351","","",""
5,5,"1821352","","",""
6,6,"1821353","","",""
7,7,"1821354","1821355","1821356",""
8,8,"1821357","","",""
9,9,"1821358","1821359","",""
10,10,"1821360","","",""
11,11,"1821361","","",""
12,12,"1821362","1821363","1821364",""
13,13,"1821365","","",""
14,14,"1821366","","",""
15,15,"1821367","1821368","",""
16,16,"1821369","","",""
17,17,"1821370","","",""
18,18,"1821371","1821372","",""
19,19,"1821373","1821374","",""
20,20,"1821375","","",""
21,21,"1821376","1821377","",""
22,22,"1821378","","",""
23,23,"1821379","","",""
24,24,"1821380","","",""
25,25,"1821381","","",""
26,26,"1821383","1821382","",""
27,27,"1821384","","",""
28,28,"1821385","","",""
29,29,"1821386","","",""
30,30,"1821388","","",""
31,31,"1821387","","",""
32,32,"1821389","1821390","",""
33,33,"1821391","","",""
34,34,"1821392","","",""
35,35,"1821393","","",""
36,36,"1821394","","",""
37,37,"1821395","","",""
38,38,"1821396","1821397","",""
39,39,"1821398","","",""
40,40,"1821399","","",""
41,41,"1821400","","",""
42,42,"1821401","","",""
43,43,"1821402","1821403","1821404",""
44,44,"1821405","","",""
45,45,"1821406","1821407","",""
46,46,"1821408","","",""
47,47,"1821409","","",""
48,48,"1821411","1821410","",""
49,49,"1821412","","",""
50,50,"1821413","","",""
51,51,"1821414","","",""
52,52,"1821415","1821416","",""
53,53,"1821417","","",""
54,54,"1821418","1821419","1821420",""
55,55,"1821421","","",""
56,56,"1821422","","",""
57,57,"1821423","","",""
58,58,"1821424","","",""
59,59,"1821425","","",""
60,60,"1821426","","",""
61,61,"1821427","1821428","",""
62,62,"1821429","1821430","",""
63,63,"1821431","","",""
64,64,"1821432","1821433","",""
65,65,"1821434","","",""
66,66,"1821435","","",""
67,67,"1821436","","",""
68,68,"1821437","","",""
69,69,"1821438","","",""
70,70,"1821439","1821440","1821441","1821442"
